Taxon	ZmpB
7553_4#17.fa	11
7622_2#7.fa	11
7001_3#7.fa	11
6999_4#11.fa	11
7622_3#51.fa	11
6999_5#19.fa	11
6999_2#1.fa	11
7553_4#6.fa	11
6925_2#77.fa	11
7622_3#54.fa	11
7001_1#21.fa	11
7622_2#25.fa	11
6952_4#21.fa	11
7001_1#17.fa	11
7553_4#39.fa	11
7622_2#38.fa	11
6999_2#15.fa	11
6999_7#23.fa	11
7622_5#73.fa	11
7001_1#8.fa	11
6999_1#17.fa	11
6999_5#17.fa	11
6999_7#22.fa	11
7622_2#12.fa	11
7001_3#8.fa	11
7622_4#27.fa	7
7553_4#29.fa	7
7553_5#67.fa	7
6925_2#74.fa	7
7622_4#26.fa	7
7622_2#36.fa	7
6999_6#10.fa	7
7622_3#83.fa	7
7553_4#5.fa	7
6952_7#8.fa	7
7622_4#21.fa	7
7553_4#1.fa	7
6999_2#20.fa	7
7622_2#30.fa	7
7001_2#21.fa	7
7553_5#89.fa	7
7622_3#92.fa	7
6930_8#14.fa	7
7622_4#25.fa	7
7001_2#23.fa	7
7622_3#52.fa	7
7622_2#2.fa	7
6999_6#5.fa	7
7553_5#94.fa	7
7622_4#35.fa	7
7622_3#82.fa	7
7553_5#56.fa	7
7553_4#23.fa	7
6999_1#16.fa	7
6925_1#55.fa	7
6952_7#19.fa	7
7553_5#84.fa	7
7622_5#85.fa	7
7622_2#31.fa	7
7622_2#24.fa	7
7622_2#37.fa	7
6925_2#76.fa	7
6952_7#17.fa	7
6952_7#14.fa	7
7622_3#76.fa	7
7001_2#10.fa	7
6999_7#6.fa	7
6925_2#79.fa	7
6925_1#68.fa	7
7622_3#87.fa	7
7001_2#22.fa	7
6999_5#6.fa	7
7553_5#50.fa	7
6999_4#6.fa	7
7553_5#58.fa	7
7622_3#58.fa	7
6925_2#85.fa	7
7553_4#33.fa	7
6930_8#16.fa	7
6930_8#13.fa	7
6925_2#95.fa	7
7622_5#78.fa	7
7622_5#72.fa	7
7622_2#41.fa	7
7553_4#37.fa	7
7001_3#21.fa	7
7001_3#4.fa	7
7553_4#22.fa	7
6999_1#12.fa	7
7001_3#14.fa	7
7622_4#41.fa	7
6925_2#83.fa	7
7622_4#13.fa	7
6925_1#59.fa	7
7622_5#88.fa	7
6925_1#71.fa	7
6925_1#69.fa	7
6999_2#19.fa	7
7622_4#2.fa	7
7622_3#74.fa	7
7553_5#55.fa	2
7553_5#73.fa	2
7001_1#22.fa	2
7001_3#15.fa	2
6999_7#7.fa	2
6999_5#10.fa	2
6999_2#4.fa	2
6925_2#94.fa	2
7622_2#17.fa	2
6930_8#23.fa	2
6999_6#3.fa	2
6999_3#6.fa	2
6999_3#13.fa	2
6999_2#5.fa	2
7622_2#5.fa	2
6999_4#8.fa	2
7553_4#7.fa	2
7622_3#91.fa	2
6952_4#14.fa	2
7622_2#28.fa	2
7622_2#3.fa	2
6999_3#8.fa	2
6999_5#14.fa	2
6952_4#1.fa	2
6952_7#20.fa	2
7001_1#23.fa	2
6925_2#81.fa	2
7622_5#64.fa	2
7553_5#93.fa	2
7622_5#51.fa	2
7553_4#3.fa	2
7001_1#19.fa	2
6999_5#16.fa	2
7622_3#68.fa	2
6930_8#21.fa	2
6925_2#88.fa	1
6999_6#13.fa	1
7001_2#3.fa	1
6999_3#23.fa	1
6999_1#2.fa	1
7622_4#42.fa	1
7622_3#86.fa	1
6952_4#6.fa	1
7553_4#10.fa	1
7553_5#64.fa	1
7553_6#3.fa	1
7622_3#84.fa	1
6999_1#14.fa	1
6925_1#67.fa	1
6930_8#5.fa	1
7553_5#51.fa	1
6925_1#49.fa	1
7553_5#65.fa	1
7622_3#57.fa	1
6930_8#22.fa	1
7622_2#9.fa	1
7553_5#68.fa	1
7622_2#26.fa	1
6925_1#53.fa	1
7553_5#79.fa	1
7553_5#53.fa	1
6999_7#11.fa	1
7553_4#36.fa	1
7622_2#21.fa	1
7622_5#86.fa	1
7622_2#22.fa	1
6999_4#2.fa	1
6952_4#18.fa	1
6999_5#22.fa	1
7001_3#22.fa	1
6925_2#86.fa	1
6999_2#6.fa	1
7622_2#23.fa	1
7622_5#87.fa	1
6999_5#20.fa	1
