Taxon	PspA	Reads
6925_1#49.fa	6952_4#18.fa	6323
6925_1#50.fa	7622_5#87.fa	6176
6925_1#51.fa	6930_8#9.fa	8053
6925_1#52.fa	7553_5#95.fa	8088
6925_1#53.fa	7622_2#9.fa	5539
6925_1#54.fa	6925_1#54.fa	6456
6925_1#55.fa	7622_2#30.fa	5564
6925_1#56.fa	6999_3#14.fa	5887
6925_1#57.fa	7622_2#30.fa	6050
6925_1#58.fa	6930_8#9.fa	7945
6925_1#59.fa	7622_2#37.fa	8220
6925_1#60.fa	7553_4#38.fa	9704
6925_1#61.fa	6999_3#11.fa	5593
6925_1#62.fa	7622_5#59.fa	6308
6925_1#63.fa	7553_6#8.fa	7590
6925_1#64.fa	7001_3#11.fa	10524
6925_1#65.fa	7622_4#47.fa	5029
6925_1#66.fa	6952_4#7.fa	7324
6925_1#67.fa	6925_1#53.fa	6654
6925_1#68.fa	6925_1#68.fa	6652
6925_1#69.fa	7622_4#13.fa	6019
6925_1#70.fa	7622_4#39.fa	6946
6925_1#71.fa	7622_3#87.fa	4674
6925_2#73.fa	7622_4#39.fa	6180
6925_2#74.fa	6999_6#10.fa	4225
6925_2#75.fa	7553_5#90.fa	4698
6925_2#76.fa	7622_5#85.fa	4808
6925_2#77.fa	6999_3#11.fa	4695
6925_2#78.fa	7622_5#85.fa	4642
6925_2#79.fa	7622_3#87.fa	3515
6925_2#80.fa	7001_3#17.fa	5080
6925_2#81.fa	6925_2#81.fa	4414
6925_2#82.fa	7622_5#87.fa	4393
6925_2#83.fa	7622_2#37.fa	4985
6925_2#84.fa	7001_3#11.fa	8941
6925_2#85.fa	6999_6#10.fa	5436
6925_2#86.fa	7622_4#40.fa	4654
6925_2#87.fa	7622_4#28.fa	6426
6925_2#88.fa	6999_3#14.fa	4935
6925_2#89.fa	7622_4#39.fa	5201
6925_2#90.fa	7622_5#83.fa	5096
6925_2#91.fa	6925_2#91.fa	3367
6925_2#92.fa	7622_5#59.fa	5517
6925_2#93.fa	6999_3#12.fa	3529
6925_2#94.fa	7553_4#36.fa	5538
6925_2#95.fa	7622_2#37.fa	6439
6930_8#10.fa	7553_6#8.fa	5283
6930_8#11.fa	7622_4#36.fa	4760
6930_8#12.fa	7622_3#83.fa	653
6930_8#13.fa	7622_4#35.fa	4312
6930_8#14.fa	7622_4#35.fa	4107
6930_8#15.fa	7553_6#6.fa	5760
6930_8#16.fa	7622_4#41.fa	3974
6930_8#17.fa	7001_2#17.fa	4521
6930_8#18.fa	7622_4#36.fa	4700
6930_8#19.fa	7622_5#59.fa	5197
6930_8#20.fa	7553_5#93.fa	5066
6930_8#21.fa	7622_4#47.fa	5455
6930_8#22.fa	6999_2#18.fa	4998
6930_8#23.fa	7553_4#36.fa	7597
6930_8#5.fa	6925_1#53.fa	5601
6930_8#6.fa	7622_4#36.fa	4607
6930_8#7.fa	7553_4#36.fa	5451
6930_8#8.fa	6925_1#53.fa	6308
6930_8#9.fa	6930_8#9.fa	7163
6952_4#10.fa	6925_1#54.fa	11663
6952_4#11.fa	7553_5#87.fa	11992
6952_4#12.fa	7622_4#39.fa	14543
6952_4#13.fa	6952_4#13.fa	18690
6952_4#14.fa	6999_6#3.fa	14394
6952_4#15.fa	6999_3#12.fa	9794
6952_4#16.fa	7622_2#34.fa	22546
6952_4#17.fa	7622_5#83.fa	16083
6952_4#18.fa	7622_5#87.fa	16711
6952_4#19.fa	6999_6#1.fa	19082
6952_4#1.fa	7622_4#47.fa	13630
6952_4#20.fa	6952_4#20.fa	14758
6952_4#21.fa	7622_5#73.fa	19413
6952_4#22.fa	6930_8#9.fa	20170
6952_4#23.fa	7622_2#9.fa	16497
6952_4#3.fa	6952_4#3.fa	14633
6952_4#4.fa	6999_6#19.fa	11833
6952_4#5.fa	7622_5#79.fa	10578
6952_4#6.fa	6952_4#6.fa	14162
6952_4#7.fa	6952_4#7.fa	15935
6952_4#8.fa	7622_2#26.fa	11894
6952_7#10.fa	7553_5#87.fa	5842
6952_7#11.fa	7622_5#59.fa	6678
6952_7#13.fa	7001_2#16.fa	6494
6952_7#14.fa	6999_6#10.fa	6505
6952_7#15.fa	7622_5#87.fa	5933
6952_7#16.fa	7001_3#11.fa	4217
6952_7#17.fa	7622_4#13.fa	6355
6952_7#18.fa	7622_2#27.fa	7649
6952_7#19.fa	7622_2#37.fa	7982
6952_7#1.fa	6925_1#53.fa	7209
6952_7#20.fa	6999_3#13.fa	4813
6952_7#21.fa	6952_4#3.fa	6783
6952_7#22.fa	6952_7#22.fa	6017
6952_7#23.fa	7553_4#36.fa	6257
6952_7#2.fa	7553_5#87.fa	6080
6952_7#3.fa	7622_4#28.fa	7223
6952_7#4.fa	7622_5#59.fa	6158
6952_7#5.fa	6999_3#4.fa	4988
6952_7#6.fa	7622_4#36.fa	6514
6952_7#7.fa	7553_5#87.fa	6102
6952_7#8.fa	7622_4#35.fa	6954
6952_7#9.fa	7622_4#39.fa	4748
6999_1#10.fa	7622_4#13.fa	6912
6999_1#11.fa	6999_1#11.fa	8114
6999_1#12.fa	7622_4#35.fa	8156
6999_1#13.fa	7622_2#26.fa	7681
6999_1#14.fa	7622_5#50.fa	6377
6999_1#15.fa	7622_4#13.fa	6874
6999_1#16.fa	7622_2#37.fa	8021
6999_1#17.fa	7553_4#6.fa	9902
6999_1#18.fa	7553_5#87.fa	8388
6999_1#19.fa	7622_5#92.fa	10092
6999_1#1.fa	7622_2#24.fa	7875
6999_1#20.fa	7622_4#39.fa	8310
6999_1#21.fa	7622_5#59.fa	6942
6999_1#22.fa	7622_2#8.fa	8092
6999_1#23.fa	7622_2#9.fa	7771
6999_1#2.fa	7622_5#50.fa	7131
6999_1#3.fa	7622_5#96.fa	10826
6999_1#4.fa	6999_1#4.fa	9123
6999_1#5.fa	7622_2#9.fa	7163
6999_1#6.fa	7622_4#36.fa	7918
6999_1#7.fa	7622_5#92.fa	9530
6999_1#8.fa	7622_2#34.fa	9812
6999_1#9.fa	7001_3#17.fa	8522
6999_2#10.fa	7622_2#34.fa	8497
6999_2#11.fa	7622_5#92.fa	8725
6999_2#12.fa	7622_5#50.fa	8024
6999_2#13.fa	7553_5#87.fa	9684
6999_2#14.fa	6952_4#15.fa	6356
6999_2#15.fa	7553_4#6.fa	8468
6999_2#16.fa	6999_3#12.fa	6765
6999_2#17.fa	7553_4#7.fa	7843
6999_2#18.fa	6999_2#18.fa	7775
6999_2#19.fa	7622_2#37.fa	8950
6999_2#1.fa	7622_5#73.fa	9575
6999_2#20.fa	7622_2#37.fa	8894
6999_2#21.fa	7622_5#59.fa	8566
6999_2#22.fa	7622_4#39.fa	8543
6999_2#23.fa	7622_5#59.fa	8788
6999_2#2.fa	7622_4#39.fa	8551
6999_2#3.fa	7622_4#47.fa	7109
6999_2#4.fa	7622_4#47.fa	7849
6999_2#5.fa	7622_4#47.fa	6900
