File	Length	n_contigs	N50	n_CDS
27859_1#180.contigs_velvet.fa	2137103	22	267250	2087
6753_1#21.contigs_velvet.fa	1999813	41	107229	1956
6805_5#16.contigs_velvet.fa	2067489	67	57011	1978
7004_8#73.contigs_velvet.fa	2151213	51	80229	2122
6730_7#14.contigs_velvet.fa	2118847	84	58228	2066
6710_6#17.contigs_velvet.fa	2039679	40	101482	1983
6730_6#21.contigs_velvet.fa	2029880	91	37923	1967
6823_1#21.contigs_velvet.fa	2055927	65	60960	1994
28157_3#183.contigs_velvet.fa	2104279	27	175569	2052
27689_4#188.contigs_velvet.fa	2123426	28	143315	2086
28157_3#156.contigs_velvet.fa	2184045	38	110163	2185
28157_3#145.contigs_velvet.fa	2129510	17	336791	2100
6753_2#4.contigs_velvet.fa	2034722	56	57435	1952
28354_1#106.contigs_velvet.fa	2127077	22	219952	2113
27535_1#154.contigs_velvet.fa	2114944	35	103895	2070
5366_3#12.contigs_velvet.fa	2018292	117	30554	1939
27689_1#77.contigs_velvet.fa	2197633	36	249871	2187
6731_4#20.contigs_velvet.fa	2115635	91	58840	2045
27754_1#12.contigs_velvet.fa	2115117	41	177872	2041
6714_7#8.contigs_velvet.fa	2092470	130	46838	2051
6983_3#59.contigs_velvet.fa	2055926	80	54148	2008
7092_6#16.contigs_velvet.fa	2131570	46	73080	2050
6807_3#7.contigs_velvet.fa	2074331	66	54934	1989
6730_1#16.contigs_velvet.fa	2154126	49	59123	2102
6983_2#20.contigs_velvet.fa	2095041	74	63256	2069
7004_7#60.contigs_velvet.fa	2145327	71	54131	2090
6823_4#21.contigs_velvet.fa	2140534	68	58756	2103
6938_5#11.contigs_velvet.fa	2044439	71	54305	1974
28048_1#99.contigs_velvet.fa	2127009	36	108640	2077
6259_6#18.contigs_velvet.fa	2125157	73	61131	2055
6807_3#15.contigs_velvet.fa	2102767	85	37864	2080
27859_1#143.contigs_velvet.fa	2130598	29	186129	2115
28157_3#101.contigs_velvet.fa	2263771	48	110472	2238
6983_6#39.contigs_velvet.fa	2154449	70	64212	2100
6731_3#5.contigs_velvet.fa	2141107	69	62057	2102
28049_1#51.contigs_velvet.fa	2154594	44	111371	2082
6823_1#20.contigs_velvet.fa	2088037	74	59249	2027
27536_3#57.contigs_velvet.fa	2056636	38	132053	2018
