Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >6925_1#52_PspC_38 pspC	specific	411407	1	604	0	846.601	NF033838	PspC_subgroup_1	 - 	cl41462
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	411407	1	604	0	846.601	cl41462	PspC_subgroup_1 superfamily	 - 	 - 
Q#1 - >6925_1#52_PspC_38 pspC	non-specific	411490	91	603	1.10341e-93	301.444	NF033930	pneumo_PspA	 - 	cl41532
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	411490	91	603	1.10341e-93	301.444	cl41532	pneumo_PspA superfamily	 - 	 - 
Q#1 - >6925_1#52_PspC_38 pspC	non-specific	411409	477	603	3.32205e-61	214.561	NF033840	PspC_relate_1	N	cl41464
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	411409	477	603	3.32205e-61	214.561	cl41464	PspC_relate_1 superfamily	N	 - 
Q#1 - >6925_1#52_PspC_38 pspC	specific	227588	299	603	1.76565e-51	179.667	COG5263	COG5263	 - 	cl34963
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	227588	299	603	1.76565e-51	179.667	cl34963	COG5263 superfamily	 - 	 - 
Q#1 - >6925_1#52_PspC_38 pspC	non-specific	411408	1	479	2.26743e-27	116.405	NF033839	PspC_subgroup_2	 - 	cl41463
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	411408	1	479	2.26743e-27	116.405	cl41463	PspC_subgroup_2 superfamily	 - 	 - 
Q#1 - >6925_1#52_PspC_38 pspC	non-specific	428286	62	132	9.09004e-17	75.1003	pfam05062	RICH	 - 	cl04916
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	428286	62	132	9.09004e-17	75.1003	cl04916	RICH superfamily	 - 	 - 
Q#1 - >6925_1#52_PspC_38 pspC	non-specific	173412	102	477	1.2257e-16	84.0371	PTZ00121	PTZ00121	N	cl31754
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	173412	102	477	1.2257e-16	84.0371	cl31754	PTZ00121 superfamily	N	 - 
Q#1 - >6925_1#52_PspC_38 pspC	specific	273479	2	39	1.45157e-12	62.1146	TIGR01168	YSIRK_signal	 - 	cl22626
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	451412	2	39	1.45157e-12	62.1146	cl22626	YSIRK_signal superfamily	 - 	 - 
Q#1 - >6925_1#52_PspC_38 pspC	non-specific	411439	39	243	0.00854175	39.3088	NF033875	Agg_substance	C	cl41491
Q#1 - >6925_1#52_PspC_38 pspC	superfamily	411439	39	243	0.00854175	39.3088	cl41491	Agg_substance superfamily	C	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	specific	429548	1278	2034	0	1132.29	pfam07580	Peptidase_M26_C	 - 	cl06563
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	429548	1278	2034	0	1132.29	cl06563	Peptidase_M26_C superfamily	 - 	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	428430	738	965	8.40179e-89	289.581	pfam05342	Peptidase_M26_N	 - 	cl12306
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	428430	738	965	8.40179e-89	289.581	cl12306	Peptidase_M26_N superfamily	 - 	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	specific	429496	319	392	1.20908e-16	76.0522	pfam07501	G5	 - 	cl38232
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	429496	319	392	1.20908e-16	76.0522	cl38232	G5 superfamily	 - 	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	411408	268	671	2.05432e-12	72.1073	NF033839	PspC_subgroup_2	N	cl41463
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	411408	268	671	2.05432e-12	72.1073	cl41463	PspC_subgroup_2 superfamily	N	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	specific	273479	3	40	9.51905e-10	55.5663	TIGR01168	YSIRK_signal	 - 	cl22626
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	451412	3	40	9.51905e-10	55.5663	cl22626	YSIRK_signal superfamily	 - 	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	226111	239	395	7.22824e-09	59.4296	COG3583	YabE	N	cl34636
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	226111	239	395	7.22824e-09	59.4296	cl34636	YabE superfamily	N	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	411408	325	755	7.16944e-08	57.4697	NF033839	PspC_subgroup_2	 - 	cl41463
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	236768	454	583	7.95196e-08	55.4589	PRK10819	PRK10819	NC	cl35954
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	236768	454	583	7.95196e-08	55.4589	cl35954	PRK10819 superfamily	NC	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	specific	428049	7	32	4.41897e-06	44.6827	pfam04650	YSIRK_signal	 - 	cl22626
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	411439	467	682	7.18519e-06	51.25	NF033875	Agg_substance	C	cl41491
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	411439	467	682	7.18519e-06	51.25	cl41491	Agg_substance superfamily	C	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	specific	366278	88	131	9.01839e-05	41.3724	pfam00746	Gram_pos_anchor	 - 	cl23989
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	390217	88	131	9.01839e-05	41.3724	cl23989	Gram_pos_anchor superfamily	 - 	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	non-specific	273344	499	757	0.000476652	45.3716	TIGR00927	2A1904	N	cl36772
Q#2 - >6925_1#52_zmpA_8 zmpA	superfamily	273344	499	757	0.000476652	45.3716	cl36772	2A1904 superfamily	N	 - 
Q#2 - >6925_1#52_zmpA_8 zmpA	specific	273478	95	128	0.00198235	37.455	TIGR01167	LPXTG_anchor	 - 	cl23989
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	specific	429496	319	392	1.78271e-12	62.9554	pfam07501	G5	 - 	cl38232
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	429496	319	392	1.78271e-12	62.9554	cl38232	G5 superfamily	 - 	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	specific	273479	3	40	1.34691e-10	56.7219	TIGR01168	YSIRK_signal	 - 	cl22626
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	451412	3	40	1.34691e-10	56.7219	cl22626	YSIRK_signal superfamily	 - 	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	226111	251	395	6.51718e-07	51.7256	COG3583	YabE	N	cl34636
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	226111	251	395	6.51718e-07	51.7256	cl34636	YabE superfamily	N	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	specific	428049	7	32	1.16543e-06	45.0679	pfam04650	YSIRK_signal	 - 	cl22626
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	236304	543	754	1.60967e-05	48.2455	PRK08581	PRK08581	C	cl35718
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	236304	543	754	1.60967e-05	48.2455	cl35718	PRK08581 superfamily	C	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	specific	366278	88	131	3.18078e-05	41.3724	pfam00746	Gram_pos_anchor	 - 	cl23989
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	390217	88	131	3.18078e-05	41.3724	cl23989	Gram_pos_anchor superfamily	 - 	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	236766	338	512	0.000102211	45.8009	PRK10811	rne	N	cl35953
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	236766	338	512	0.000102211	45.8009	cl35953	rne superfamily	N	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	411439	519	682	0.000114228	45.8572	NF033875	Agg_substance	C	cl41491
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	411439	519	682	0.000114228	45.8572	cl41491	Agg_substance superfamily	C	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	240420	418	662	0.000389203	43.7993	PTZ00441	PTZ00441	N	cl25523
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	240420	418	662	0.000389203	43.7993	cl25523	PTZ00441 superfamily	N	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	227596	540	762	0.000710423	43.4491	COG5271	MDN1	N	cl34967
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	227596	540	762	0.000710423	43.4491	cl34967	MDN1 superfamily	N	 - 
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	specific	273478	95	128	0.000745549	37.455	TIGR01167	LPXTG_anchor	 - 	cl23989
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	non-specific	411408	421	671	0.00167777	41.6765	NF033839	PspC_subgroup_2	N	cl41463
Q#3 - >6925_1#52_zmpA_8_s1 zmpA	superfamily	411408	421	671	0.00167777	41.6765	cl41463	PspC_subgroup_2 superfamily	N	 - 
Q#4 - >6925_1#52_zmpA_8_s2 zmpA	non-specific	428430	142	369	4.16327e-90	284.959	pfam05342	Peptidase_M26_N	 - 	cl12306
Q#4 - >6925_1#52_zmpA_8_s2 zmpA	superfamily	428430	142	369	4.16327e-90	284.959	cl12306	Peptidase_M26_N superfamily	 - 	 - 
Q#4 - >6925_1#52_zmpA_8_s2 zmpA	non-specific	429548	682	847	4.65144e-69	243.248	pfam07580	Peptidase_M26_C	C	cl06563
Q#4 - >6925_1#52_zmpA_8_s2 zmpA	superfamily	429548	682	847	4.65144e-69	243.248	cl06563	Peptidase_M26_C superfamily	C	 - 
Q#4 - >6925_1#52_zmpA_8_s2 zmpA	non-specific	240420	14	157	4.6922e-05	46.8809	PTZ00441	PTZ00441	N	cl25523
Q#4 - >6925_1#52_zmpA_8_s2 zmpA	superfamily	240420	14	157	4.6922e-05	46.8809	cl25523	PTZ00441 superfamily	N	 - 
Q#5 - >6925_1#52_zmpA_8_s3 zmpA	specific	429548	2	758	0	1109.95	pfam07580	Peptidase_M26_C	 - 	cl06563
Q#5 - >6925_1#52_zmpA_8_s3 zmpA	superfamily	429548	2	758	0	1109.95	cl06563	Peptidase_M26_C superfamily	 - 	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	429548	1059	1794	0	672.361	pfam07580	Peptidase_M26_C	 - 	cl06563
