Taxon	PspC	Reads
6925_1#49.fa	7622_5#66.fa	7230
6925_1#50.fa	6925_1#50.fa	9964
6925_1#51.fa	6952_4#22.fa	6480
6925_1#52.fa	6925_1#52.fa	7096
6925_1#53.fa	6999_1#22.fa	6765
6925_1#54.fa	7553_6#2.fa	7334
6925_1#55.fa	7001_3#4.fa	17104
6925_1#56.fa	7622_4#13.fa	11363
6925_1#57.fa	7622_3#69.fa	11480
6925_1#58.fa	6952_4#22.fa	6662
6925_1#59.fa	7001_3#4.fa	16980
6925_1#60.fa	6999_6#14.fa	12062
6925_1#61.fa	7622_5#65.fa	5496
6925_1#62.fa	7622_4#23.fa	11320
6925_1#63.fa	7622_2#29.fa	6309
6925_1#64.fa	7622_5#68.fa	8092
6925_1#65.fa	6999_2#3.fa	7669
6925_1#66.fa	7553_6#1.fa	12658
6925_1#67.fa	7622_5#77.fa	8590
6925_1#68.fa	6925_1#68.fa	10052
6925_1#69.fa	7622_3#74.fa	10158
6925_1#70.fa	6925_1#70.fa	8101
6925_1#71.fa	7622_4#23.fa	10129
6925_2#73.fa	7622_5#65.fa	5653
6925_2#74.fa	7622_4#21.fa	5789
6925_2#75.fa	7622_4#13.fa	5752
6925_2#76.fa	7622_3#74.fa	8691
6925_2#77.fa	7622_5#73.fa	5846
6925_2#78.fa	7622_3#53.fa	5389
6925_2#79.fa	7622_4#23.fa	7647
6925_2#80.fa	7622_5#77.fa	6338
6925_2#81.fa	6925_2#81.fa	6125
6925_2#82.fa	6925_2#82.fa	6450
6925_2#83.fa	7001_3#4.fa	10661
6925_2#84.fa	7622_5#68.fa	7142
6925_2#85.fa	7622_4#21.fa	7079
6925_2#86.fa	7622_5#77.fa	6117
6925_2#87.fa	7622_4#23.fa	12100
6925_2#88.fa	6925_2#88.fa	5969
6925_2#89.fa	6925_2#94.fa	5652
6925_2#90.fa	6999_6#14.fa	6217
6925_2#91.fa	7622_5#77.fa	5304
6925_2#92.fa	7622_4#23.fa	10145
6925_2#93.fa	7553_6#2.fa	3995
6925_2#94.fa	6925_2#94.fa	6448
6925_2#95.fa	7001_3#4.fa	14717
6930_8#10.fa	6930_8#10.fa	4311
6930_8#11.fa	7553_6#4.fa	8466
6930_8#12.fa	7553_6#2.fa	3489
6930_8#13.fa	7622_4#35.fa	8205
6930_8#14.fa	7622_4#35.fa	7656
6930_8#15.fa	7622_3#69.fa	13692
6930_8#16.fa	7622_4#41.fa	7986
6930_8#17.fa	6930_8#17.fa	6179
6930_8#18.fa	7622_3#69.fa	11426
6930_8#19.fa	7622_4#36.fa	8102
6930_8#20.fa	7553_6#1.fa	5748
6930_8#21.fa	7553_6#1.fa	9641
6930_8#22.fa	6999_2#18.fa	6203
6930_8#23.fa	6925_2#94.fa	7880
6930_8#5.fa	7001_3#10.fa	6906
6930_8#6.fa	6999_4#16.fa	9390
6930_8#7.fa	7622_4#41.fa	7453
6930_8#8.fa	7553_4#13.fa	7315
6930_8#9.fa	6952_4#22.fa	5364
